Tipo de Registro,Valores
A,"34.249.203.140, 34.246.169.176"
AAAA,No disponible
MX,No disponible
NS,"ns-1602.awsdns-08.co.uk., ns-225.awsdns-28.com., ns-633.awsdns-15.net., ns-1299.awsdns-34.org."
TXT,"""Probely=34ff178a-380a-4acd-86b2-2739584c4c0c"""
