Subdominio,IPs
www.vulnerable-website.com,"34.249.203.140, 34.246.169.176"
www.vulnerable-website.com,"34.249.203.140, 34.246.169.176"
www.vulnerable-website.com,"34.249.203.140, 34.246.169.176"
www.vulnerable-website.com,"34.249.203.140, 34.246.169.176"
www.vulnerable-website.com,"34.249.203.140, 34.246.169.176"
