Tipo de Registro,Valores
A,44.228.249.3
AAAA,No disponible
MX,No disponible
NS,No disponible
TXT,"""google-site-verification:toEctYsulNIxgraKk7H3z58PCyz2IOCc36pIupEPmYQ"""
