Tipo de Registro,Valores
A,208.80.153.224
AAAA,2620:0:860:ed1a::1
MX,"10 mx-in1001.wikimedia.org., 10 mx-in2001.wikimedia.org."
NS,"ns0.wikimedia.org., ns1.wikimedia.org., ns2.wikimedia.org."
TXT,"""yandex-verification: 35c08d23099dc863"", ""v=spf1 include:_cidrs.wikimedia.org ~all"", ""google-site-verification=AMHkgs-4ViEvIJf5znZle-BSE2EPNFqM1nDJGRyn2qk"""
